datetime,station,year,month,day,dayofweek,pm2.5,pm10,no,no2,nox,nh3,so2,co,ozone
2019-12-11,Chandini_Chowk,2019,12,11,2,,,,,,,,,
2019-12-12,Chandini_Chowk,2019,12,12,3,,,,,,,,,
2019-12-13,Chandini_Chowk,2019,12,13,4,,,,,,,,,
2019-12-14,Chandini_Chowk,2019,12,14,5,,,,,,,,,
2019-12-15,Chandini_Chowk,2019,12,15,6,,,,,,,,,
2019-12-16,Chandini_Chowk,2019,12,16,0,,,,,,,,,
2019-12-17,Chandini_Chowk,2019,12,17,1,,,,,,,,,
2019-12-18,Chandini_Chowk,2019,12,18,2,,,,,,,,,
2019-12-19,Chandini_Chowk,2019,12,19,3,,,,,,,,,
2019-12-20,Chandini_Chowk,2019,12,20,4,,,,,,,,,
2019-12-21,Chandini_Chowk,2019,12,21,5,,,,,,,,,
2019-12-22,Chandini_Chowk,2019,12,22,6,,,,,,,,,
2019-12-23,Chandini_Chowk,2019,12,23,0,,,,,,,,,
2019-12-24,Chandini_Chowk,2019,12,24,1,,,,,,,,,
2019-12-25,Chandini_Chowk,2019,12,25,2,,,,,,,,,
2019-12-26,Chandini_Chowk,2019,12,26,3,,,,,,,,,
2019-12-27,Chandini_Chowk,2019,12,27,4,,,,,,,,,
2019-12-28,Chandini_Chowk,2019,12,28,5,,,,,,,,,
2019-12-29,Chandini_Chowk,2019,12,29,6,,,,,,,,,
2019-12-30,Chandini_Chowk,2019,12,30,0,,,,,,,,,
2019-12-31,Chandini_Chowk,2019,12,31,1,,,,,,,,,
2020-01-01,Chandini_Chowk,2020,1,1,2,,,,,,,,,
2020-01-02,Chandini_Chowk,2020,1,2,3,,,,,,,,,
2020-01-03,Chandini_Chowk,2020,1,3,4,,,,,,,,,
2020-01-04,Chandini_Chowk,2020,1,4,5,,,,,,,,,
2020-01-05,Chandini_Chowk,2020,1,5,6,,,,,,,,,
2020-01-06,Chandini_Chowk,2020,1,6,0,,,,,,,,,
2020-01-07,Chandini_Chowk,2020,1,7,1,,,,,,,,,
2020-01-08,Chandini_Chowk,2020,1,8,2,,,,,,,,,
2020-01-09,Chandini_Chowk,2020,1,9,3,,,,,,,,,
2020-01-10,Chandini_Chowk,2020,1,10,4,,,,,,,,,
2020-01-11,Chandini_Chowk,2020,1,11,5,,,,,,,,,
2020-01-12,Chandini_Chowk,2020,1,12,6,,,,,,,,,
2020-01-13,Chandini_Chowk,2020,1,13,0,,,,,,,,,
2020-01-14,Chandini_Chowk,2020,1,14,1,,,,,,,,,
2020-01-15,Chandini_Chowk,2020,1,15,2,,,,,,,,,
2020-01-16,Chandini_Chowk,2020,1,16,3,,,,,,,,,
2020-01-17,Chandini_Chowk,2020,1,17,4,,,,,,,,,
2020-01-18,Chandini_Chowk,2020,1,18,5,,,,,,,,,
2020-01-19,Chandini_Chowk,2020,1,19,6,,,,,,,,,
2020-01-20,Chandini_Chowk,2020,1,20,0,,,,,,,,,
2020-01-21,Chandini_Chowk,2020,1,21,1,,,,,,,,,
2020-01-22,Chandini_Chowk,2020,1,22,2,,,,,,,,,
2020-01-23,Chandini_Chowk,2020,1,23,3,,,,,,,,,
2020-01-24,Chandini_Chowk,2020,1,24,4,,,,,,,,,
2020-01-25,Chandini_Chowk,2020,1,25,5,,,,,,,,,
2020-01-26,Chandini_Chowk,2020,1,26,6,,,,,,,,,
2020-01-27,Chandini_Chowk,2020,1,27,0,,,,,,,,,
